Municipalities,demo_0,demo_1,demo_2,demo_3,emp_0,mobi_0,mobi_1,mobi_2,mobi_3,mobi_4,mobi_5,mobi_6,mobi_7,mobi_8,Avg. PI. per person by household position | 2018,Cluster
Baarle-Nassau,-4.325318132864494,1.0370530460512928,-0.4438971311972616,-1.130636213847955,-1.5121004694166165,-5.599654455150063,-0.8913334428361646,1.8247169863247188,-2.243310770983419,1.8508258278881833,-0.07440797127832163,2.081218309233507,-1.0668087305216116,1.322684860226121,-0.20272009656564097,3
Baarn,-1.3313234188944472,0.157965880185069,3.0579804711214007,0.25339235245854835,-0.9445141097789345,2.486667886888051,-1.209152464376411,-0.6190148011229606,0.34253268325030356,1.2474090113339713,-0.975344167107536,1.2909607156338516,1.6242025202083756,0.5060421304445288,1.4989466460704153,1
Barendrecht,3.3285474365631664,-3.5565311702698894,0.17251857022639125,2.6802337433638237,0.025106892330434102,0.74158649969311,-1.2298428654063498,1.115953241980495,-0.3145009137638801,0.7260280504056837,0.45306025168861536,0.22447812606337883,-0.3156747194744242,0.3308153764664186,1.350257319043964,1
Barneveld,6.20197481497446,-4.493134913808668,0.642863621035291,-2.417415143647213,0.5843883379442719,-1.7554881734918655,-0.930725795138685,-1.5130117131331273,0.029228463313782815,1.4491588159069502,0.030805083015176996,0.2625152052239522,-0.1282731041611012,0.03708409174898998,0.11117959382353428,1
Beek,-4.991449483063104,2.480054168342906,0.8206724050135304,0.09640565793190557,-1.1796051752813126,-0.2065920623158932,-1.2318236957128204,2.187037779199519,1.4565060273946315,-0.11535968121743567,1.6918466404205035,-0.5624787682911169,0.4870526607694907,0.271813500758174,-0.13663595122055164,3
Beekdaelen,-4.861054241360402,1.364738240610418,-0.06881262881341725,0.38163865485415804,-0.714469170502816,0.47849009887169974,-1.7026495985295407,2.677437708790105,5.038255297752192,-0.6191947489616164,-0.5091116883245287,-0.6397051357760897,-1.1497013960700784,-0.33931743528784136,-0.16967802389309689,3
Beemster,0.6398085094163718,-2.0269210628019745,-0.564788333103173,0.6951191478694599,-1.4847083422345115,-3.2840205447903705,-1.2042644454202425,-0.5430037039410125,-0.16326350684301377,0.5312376521191773,-0.4275804090099776,1.287468143570641,0.49538613087246647,-0.8432618609925583,0.7224579382656133,3
Beesel,-2.615314760291619,0.022304471162168726,-1.3755063216907124,0.14406033575382107,-1.427684616060691,1.5428359257584927,-0.12215652622366259,-1.3955267488318412,0.07991350482489454,1.0800783246515218,0.29807034661613546,-0.05746071810156434,0.4802893961501207,-0.22594097872580815,-0.6983511866538128,3
Berg en Dal,-3.7931121265495102,1.2024627060416615,-0.13902958467513277,0.28402762020255057,-0.7015226065602327,-0.6058962041436703,0.22000060282025166,0.500214369459803,-0.27352444588988317,-0.4520734397987639,0.2648630620929233,-0.04201070325119081,0.37533693545975444,-0.149259653344302,-0.5166197869548163,3
Bergeijk,-1.8529498100923323,-0.4450892948873055,-2.6531627483346787,-0.43314061303377444,-1.0930465658345423,-2.4232143559224313,-0.27476845934065053,0.8967312958439123,-0.14833401403929594,-0.9306478155078757,-0.5046593175263445,1.489320320439524,1.640747696639145,0.7686586347735811,-0.004467660530372951,3
