Municipalities,demography_0,demography_1,demography_2,demography_3,employment,mobility_0,mobility_1,mobility_2,mobility_3,mobility_4,mobility_5,mobility_6,mobility_7,mobility_8,ChronicDisease_0,ChronicDisease_1,Avg. PI. per person by household position
Bergen op Zoom,-0.3886525034055411,1.285441258126662,-0.2300518108925104,0.5575887147642052,0.4485101869201434,1.3873832106541186,-0.4543120279427175,0.68336652019968,0.2676481978144479,0.10394496005767928,0.47251560851726204,-0.5457503170407461,0.07767941437983486,0.8846751054988496,1.0728118893528478,-1.051702123873286,-0.23576216923818624
Berkelland,-3.5584369849820523,-0.6012641375641278,-0.3230243626745744,0.09328580829476504,-0.38922793606671097,-1.4124351179509789,-0.0962449888743318,-1.0424258965229485,-0.4706247037683238,-0.29331934394722314,-0.7320979774805363,-0.8420954039642968,-1.1984767949875663,-0.371873598547459,0.007705390628761673,-0.5331280662935838,-0.7644353319989021
Bernheze,0.19502223455800446,-1.730391422691676,-1.3319940478704706,-0.18784799602111651,-0.7727712227718868,-0.8485030482878847,-0.2506228980503336,-0.5358268999275597,0.665170092017847,0.027937962242606144,0.6190773215375067,0.2489878138792149,-0.18946130774299566,0.17294472753026935,-0.6562203158557672,0.3725179189294503,-0.10359387854800638
Best,0.4675901086461296,-0.8806651937039877,-1.68161387263217,1.0622404596477697,-0.6526290276559017,1.0001078291159733,-0.6269129549114444,-0.33274586402837764,-0.07880386150055066,0.08338140679628826,-0.7913688848954088,-0.4731710193158368,-0.0200336301894183,-0.41524343546024656,-0.7534312517514237,0.07510241546008331,0.6894158655930681
Beuningen,-0.6245710561067639,-0.33814703734115675,-2.1998141912149207,1.7366322173870676,-1.010061242487217,0.0384804419789691,-0.5760443371640229,1.024259978547345,-0.4838150641534697,-0.3655810712833826,0.9152053208491421,0.5625309055756816,1.130716489982762,0.4192147502639625,-0.7890611038268539,0.01603377272991049,0.06161648481471756
Beverwijk,3.082585865492961,1.6365112440966,-0.4708676705324604,0.10207826151579373,-0.4259948631178477,1.9360620008866511,-0.27072922661082793,-0.01910961127199816,1.430889663280932,-0.0935711658478552,0.4789993424924769,-0.6915758071113526,1.2281576478555511,-0.6358172453826463,-0.17623052837644335,-0.4539833539971969,-0.3183673509195482
Bladel,-0.8044065164719786,-0.4570851398081778,-1.6965975071990709,-0.6004507475240346,-0.8081184479699872,-1.0422995749255255,1.2294234351499456,-0.034678140669723134,0.17547718665428624,-1.5713185072350944,0.3169942154467505,-0.10630686082711363,-0.6709372980398073,-0.03816686062261738,-1.0940187812989564,0.5997200946152146,-0.23576216923818624
Blaricum,-0.6295316184603562,-2.4895091614225966,3.5073126536350383,-0.8007763757878802,-1.5073336737519474,0.13362518498446216,-0.8708686591416365,1.0044315567828723,1.3300603191920934,-1.0851492834305367,0.3300014041437586,0.01447296493063249,-0.07349162811972698,-0.11005314464800252,-1.477466494846732,5.031982788158633,5.282263967076792
Bloemendaal,-3.2897494777030216,-4.2107382895769625,5.4560298802156435,0.1460015962616037,-1.208106938380015,1.9761721474764842,-0.4243010402870957,-0.6700524066844195,-0.05183653557989982,0.7500901901131515,-0.31051723585427743,0.14849169343173566,0.7194749887922481,0.428732992539884,-1.0819625651935807,1.2455075976532883,5.959626456863963
Bodegraven-Reeuwijk,1.6898793270277763,-2.088729023270194,-0.2768170301197666,-0.7567186468994211,-0.5349034135831079,0.2492490620984999,-0.4615636144090744,-0.5511600602301259,0.01250183885624062,-0.19112575670706675,-0.02897153123119318,0.5013397729779391,2.039002680183228,-0.0656399955554791,-0.5697900659539893,0.6818534163131353,0.7720210472744301
Boekel,1.440439559677837,-2.4176765328430667,-3.0323059471614062,-0.13471528588736625,-1.4718856146950392,-2.7447155957915594,-0.5061423230149239,-0.6213798651195811,-1.3407866280142484,-0.4666510835417914,-0.15377782699893697,1.0508013435687134,-0.4892339768583927,-0.6440117498516,-1.3718101755009515,0.7622486233659053,-0.5331408232910889
Borger-Odoorn,-4.795161919462322,0.019207352842544156,-1.229501111800405,0.8067243726829477,-1.0188831779948726,-5.475744602173028,-0.08008637007771582,1.0218663511894108,-2.1399818710530414,1.2127185596969798,-0.8601331216486886,-1.0052315999452512,0.32699796706001244,0.9787045848322976,-0.5699513570414357,-0.9718811927334948,-0.8470405136802641
Borne,0.8623483085097678,-1.9614899760723608,0.7145922252876344,-0.7141800556927759,-1.1335000863503584,0.2930695010218686,-0.2451627469449006,-1.2348631498203362,0.8444587099065647,0.5686375793356908,0.8620865218203723,-0.11914852069171634,-0.04835121253902997,0.4107598715267916,-0.8888760958580735,0.0426157000980656,-0.03750973320291704
Borsele,0.22112083030551613,-1.6226557506204873,-1.3883221711727343,-0.655208389322504,-0.9926176846993308,-2.581633531196907,-0.5043161109081696,0.16966357339014007,-0.5514086610542397,-1.1983216810671773,0.2961679080869461,0.3822760568092483,0.9642288686660654,-1.3930966493461323,-0.9882087342514662,0.8555903591507957,-0.16967802389309689
Boxmeer,-2.8989440142805023,0.13182835697180073,-1.4582893092443072,-0.03251115507679731,-0.6182056566139728,-0.24181251891545394,-0.43839726582335775,-0.9790942960374258,0.00244564919250762,0.3957218320835042,0.1308260316646076,-1.0114074928756456,-0.08819780190472246,-0.4592502540815688,-0.6061202084840949,-0.5771331058552965,-0.4174935689371828
Boxtel,-0.2168870357592597,0.12294852916552285,0.13016185402902528,-0.5978365537297342,-0.6765128772727165,1.7437558662077688,-0.2932442089120564,-1.0031468584845908,0.2994912374228093,0.08477192187278954,0.6162500677352739,-0.2804303957134107,-0.1588349855735093,-0.4657489198466345,-0.6427026257442215,0.10400147011428948,-0.13663595122055164
